,AGE,ATTRITION,BUSINESSTRAVEL,DAILYRATE,DEPARTMENT,DISTANCEFROMHOME,EDUCATION,EDUCATIONFIELD,EMPLOYEENUMBER,ENVIRONMENTSATISFACTION,GENDER,HOURLYRATE,JOBINVOLVEMENT,JOBLEVEL,JOBROLE,JOBSATISFACTION,MARITALSTATUS,MONTHLYINCOME,MONTHLYRATE,NUMCOMPANIESWORKED,OVERTIME,PERCENTSALARYHIKE,PERFORMANCERATING,RELATIONSHIPSATISFACTION,STOCKOPTIONLEVEL,TOTALWORKINGYEARS,TRAININGTIMESLASTYEAR,WORKLIFEBALANCE,YEARSATCOMPANY,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER,REMOTEWORK
101,43.0,0,travel rarely,1291.0,research & development,15,2,,1666.0,3,male,65.0,2,4,research director,3,,,3525,1,0.0,24,4.0,1,1,,3,3.0,14,6,11,1
102,34.0,0,,1157.0,,5,2,medical,1696.0,2,male,57.0,2,2,laboratory technician,4,,,11912,1,0.0,14,3.0,3,1,,3,,15,4,13,0
103,38.0,0,,1336.0,,2,3,,1805.0,1,male,100.0,3,1,human resources,2,divorced,,7129,5,0.0,13,3.0,4,3,13.0,3,3.0,11,3,8,1
104,48.0,0,,1224.0,,10,3,,,4,male,91.0,2,5,research director,2,,,13583,4,0.0,12,3.0,4,0,29.0,3,3.0,22,12,9,0
105,34.0,0,,735.0,research & development,22,4,other,1932.0,3,male,86.0,2,2,research scientist,4,married,5747.0,26496,1,1.0,15,3.0,2,0,16.0,3,3.0,15,6,11,0
106,32.0,0,travel rarely,,,31,4,,2016.0,3,female,48.0,3,3,sales executive,4,,10422.0,24032,1,0.0,19,3.0,3,2,14.0,3,3.0,14,5,7,1
107,29.0,0,travel rarely,1389.0,,21,4,life sciences,20.0,2,female,51.0,4,3,manufacturing director,1,divorced,,10195,1,0.0,11,3.0,3,1,10.0,1,3.0,10,8,8,0
108,46.0,0,,638.0,,1,3,medical,,3,male,40.0,2,3,healthcare representative,1,married,,3142,2,1.0,13,3.0,3,1,21.0,5,2.0,10,9,5,0
109,30.0,0,,1240.0,human resources,9,3,,184.0,3,male,48.0,3,2,human resources,4,married,6347.0,13982,0,1.0,19,3.0,4,0,,2,1.0,11,4,7,0
110,45.0,0,,194.0,,9,3,life sciences,206.0,2,male,60.0,3,2,laboratory technician,2,,2348.0,10901,8,0.0,18,3.0,3,1,20.0,2,,17,0,15,1
111,30.0,0,travel rarely,1339.0,,5,3,,228.0,2,female,41.0,3,3,sales executive,4,,,8053,2,0.0,12,3.0,3,1,,2,3.0,10,7,4,0
112,30.0,0,,111.0,,9,3,,239.0,3,male,66.0,3,2,laboratory technician,1,,3072.0,11012,1,0.0,11,,3,2,12.0,4,3.0,12,6,10,1
113,34.0,0,travel frequently,,,29,1,,256.0,4,male,45.0,2,2,manufacturing director,3,married,,14074,1,,17,3.0,3,0,10.0,2,2.0,10,1,9,0
114,51.0,0,travel rarely,1469.0,,8,4,life sciences,,2,male,81.0,2,3,research director,2,married,12490.0,15736,5,0.0,16,3.0,4,2,16.0,5,1.0,10,4,7,0
115,34.0,0,,470.0,,39,4,life sciences,339.0,3,male,84.0,2,2,manufacturing director,1,,,23687,6,,13,3.0,2,1,13.0,3,3.0,11,5,9,1
116,35.0,0,travel rarely,1232.0,,16,3,,406.0,3,male,96.0,3,3,sales executive,2,married,8020.0,5100,0,,15,3.0,3,2,12.0,3,2.0,11,6,9,1
117,45.0,0,travel frequently,1249.0,,7,3,life sciences,,1,male,97.0,3,3,laboratory technician,1,,,20308,1,,18,3.0,1,1,24.0,2,3.0,24,9,11,1
118,39.0,0,,117.0,,10,1,,429.0,3,male,99.0,3,4,manager,1,married,17068.0,5355,1,,14,,4,0,21.0,3,3.0,21,11,10,1
119,31.0,0,,798.0,,7,2,,,3,female,48.0,2,3,manufacturing director,3,married,8943.0,14034,1,0.0,24,4.0,1,1,10.0,2,3.0,10,8,9,0
120,39.0,0,,672.0,research & development,7,2,,444.0,3,male,54.0,2,5,manager,4,married,19272.0,21141,1,,15,3.0,1,1,,2,3.0,21,13,3,0
121,45.0,0,travel rarely,549.0,,8,4,,452.0,4,male,75.0,3,2,research scientist,4,,,9278,9,0.0,14,3.0,1,2,12.0,3,3.0,10,9,8,0
122,30.0,0,travel rarely,570.0,sales,5,3,marketing,456.0,4,female,30.0,2,2,sales executive,3,,,5431,1,,13,3.0,3,3,10.0,2,3.0,10,1,2,1
123,31.0,0,,1232.0,,7,4,medical,,3,female,39.0,3,3,manufacturing director,4,,,25713,1,,14,3.0,3,0,11.0,2,2.0,11,4,10,0
124,36.0,0,,541.0,,3,4,medical,481.0,1,male,48.0,2,3,sales executive,4,married,,7246,4,0.0,11,3.0,1,1,16.0,2,3.0,13,1,12,0
125,36.0,0,travel rarely,164.0,,2,2,,513.0,2,male,61.0,2,3,sales executive,3,married,,3809,1,,13,3.0,2,2,10.0,2,3.0,10,9,0,0
126,55.0,0,travel rarely,1117.0,,18,5,,597.0,1,female,83.0,3,4,manager,2,single,,9873,3,0.0,23,4.0,4,0,37.0,2,3.0,10,7,7,1
127,35.0,0,,619.0,,1,3,,600.0,2,male,85.0,3,2,sales executive,3,,,18659,9,,11,3.0,3,0,15.0,2,3.0,11,6,9,1
128,42.0,0,travel rarely,319.0,,24,3,medical,,4,male,56.0,3,3,manufacturing director,1,married,,6950,1,,21,4.0,4,1,10.0,5,2.0,10,5,8,0
129,52.0,0,travel rarely,956.0,,6,2,,630.0,4,male,78.0,3,2,research scientist,1,divorced,5577.0,22087,3,1.0,12,,2,2,18.0,3,3.0,10,6,9,1
130,49.0,0,,1245.0,,18,4,life sciences,638.0,4,male,58.0,2,5,research director,3,,,2125,1,1.0,17,3.0,3,1,,5,3.0,31,0,9,1
131,34.0,0,travel rarely,1397.0,research & development,1,5,,683.0,2,male,42.0,3,1,research scientist,4,married,2691.0,7660,1,0.0,12,3.0,4,1,,4,2.0,10,8,8,1
132,33.0,1,travel rarely,527.0,,1,4,other,780.0,4,male,63.0,3,1,research scientist,4,single,,5207,1,,13,3.0,3,0,10.0,2,2.0,10,7,8,0
133,33.0,0,,213.0,research & development,7,3,medical,817.0,3,male,49.0,3,3,research director,3,married,,25995,0,0.0,11,3.0,4,0,,3,4.0,13,3,7,0
134,53.0,0,travel rarely,,,23,4,,901.0,4,female,72.0,3,4,research director,4,,,20206,6,0.0,18,3.0,3,0,33.0,0,3.0,12,3,8,1
135,49.0,0,travel rarely,527.0,,8,2,other,944.0,1,female,51.0,3,3,laboratory technician,2,married,7403.0,22477,4,,11,3.0,3,1,29.0,3,2.0,26,1,7,0
136,35.0,0,,882.0,,21,4,,984.0,2,male,,3,3,sales executive,4,,,6812,6,,13,3.0,2,1,,2,3.0,10,0,8,0
137,38.0,0,travel rarely,330.0,,17,1,life sciences,1088.0,3,female,65.0,2,3,healthcare representative,3,married,8823.0,24608,0,,18,3.0,1,1,20.0,4,2.0,19,1,9,0
138,46.0,0,,406.0,sales,3,1,marketing,1124.0,1,male,,3,4,manager,3,married,,15596,3,0.0,12,3.0,4,1,,3,3.0,12,4,9,0
139,36.0,0,non-travel,217.0,,18,4,,,1,male,78.0,3,2,manufacturing director,4,single,,23238,2,,20,4.0,1,0,18.0,0,3.0,11,0,9,0
140,42.0,1,travel frequently,481.0,,15,3,life sciences,1167.0,1,male,44.0,3,4,sales executive,1,single,,2447,0,,12,,2,0,,2,2.0,21,13,14,1
141,34.0,0,travel frequently,669.0,,1,3,,1184.0,4,male,97.0,2,2,healthcare representative,1,single,,25755,0,0.0,20,4.0,3,0,14.0,3,3.0,13,4,9,1
142,30.0,0,travel rarely,1465.0,research & development,1,3,medical,,4,male,63.0,3,1,research scientist,2,,3579.0,9369,0,1.0,21,4.0,1,1,12.0,2,3.0,11,5,7,1
143,54.0,0,travel rarely,685.0,,3,3,life sciences,,4,male,85.0,3,4,research director,4,married,17779.0,23474,3,0.0,14,3.0,1,0,36.0,2,3.0,10,0,9,1
144,31.0,0,travel rarely,1062.0,,24,3,medical,1252.0,3,female,96.0,2,2,healthcare representative,1,single,,17198,1,0.0,19,,2,0,10.0,2,3.0,10,1,8,0
145,44.0,0,,1099.0,,5,3,,1267.0,2,male,88.0,3,5,manager,2,married,18213.0,8751,7,0.0,11,3.0,3,1,26.0,5,3.0,22,3,10,0
146,55.0,0,non-travel,177.0,,8,1,,1278.0,4,male,37.0,2,4,healthcare representative,2,divorced,13577.0,25592,1,1.0,15,3.0,4,1,,3,3.0,33,15,0,0
147,44.0,0,travel rarely,1199.0,,4,2,life sciences,1288.0,3,male,92.0,4,5,manager,1,divorced,19190.0,17477,1,0.0,14,3.0,4,2,,4,2.0,25,14,13,0
148,34.0,0,travel frequently,648.0,human resources,11,3,life sciences,,3,male,56.0,2,2,human resources,2,,,21833,4,0.0,11,3.0,4,2,14.0,5,4.0,10,1,8,1
149,39.0,0,,412.0,,13,4,,1307.0,3,female,94.0,2,4,manager,2,divorced,17123.0,17334,6,1.0,13,3.0,4,2,,4,3.0,19,15,2,0
150,55.0,0,travel rarely,282.0,,2,2,medical,1336.0,4,female,58.0,1,5,manager,3,,19187.0,6992,4,,14,,4,1,23.0,5,3.0,19,9,11,0
151,51.0,0,,770.0,,5,3,life sciences,1352.0,3,male,84.0,3,4,manager,2,,,17588,1,,11,3.0,2,1,,2,3.0,33,0,10,0
152,58.0,1,,601.0,,14,4,medical,1360.0,1,female,53.0,2,3,manufacturing director,1,married,10008.0,12023,7,,14,3.0,4,0,,0,2.0,10,5,9,0
153,48.0,0,,855.0,,4,3,life sciences,,4,male,54.0,3,3,manufacturing director,4,single,,18706,1,0.0,11,3.0,3,0,11.0,2,3.0,10,0,8,1
154,29.0,0,travel rarely,332.0,human resources,17,3,,1419.0,2,male,51.0,2,3,human resources,1,single,7988.0,9769,1,,13,3.0,1,0,,3,2.0,10,0,9,0
155,34.0,0,,1326.0,,3,3,other,1478.0,4,male,81.0,1,2,sales executive,1,single,,15891,3,0.0,18,,4,0,15.0,2,3.0,13,3,12,1
