,AGE,ATTRITION,BUSINESSTRAVEL,DEPARTMENT,DISTANCEFROMHOME,EDUCATION,EDUCATIONFIELD,EMPLOYEENUMBER,ENVIRONMENTSATISFACTION,GENDER,HOURLYRATE,JOBINVOLVEMENT,JOBLEVEL,JOBROLE,JOBSATISFACTION,MARITALSTATUS,MONTHLYINCOME,MONTHLYRATE,NUMCOMPANIESWORKED,OVERTIME,PERCENTSALARYHIKE,RELATIONSHIPSATISFACTION,STOCKOPTIONLEVEL,TRAININGTIMESLASTYEAR,WORKLIFEBALANCE,YEARSATCOMPANY,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER,REMOTEWORK,DAILYRATE,PERFORMANCERATING,TOTALWORKINGYEARS
28,33.0,no,travel rarely,Unknown,28,4,life sciences,Unknown,2,male,79.0,3,2,laboratory technician,3,married,,22949,1,,12,2,1,3,3.0,15,5,7,1,589.0,3.0,15.0
29,34.0,no,non-travel,sales,10,3,life sciences,1774.0,4,male,87.0,3,2,sales executive,3,Unknown,4001.0,12313,1,1.0,14,3,1,3,3.0,15,0,7,1,810.706601907268,3.0,15.0
30,41.0,no,Unknown,sales,-37,1,Unknown,1815.0,37,female,81.0,3,3,sales executive,3,divorced,10447.0,26458,0,,13,4,1,3,4.0,22,13,5,1,802.0919042787403,3.0,11.314493590832905
31,47.0,no,Unknown,research & development,25,3,medical,1993.0,1,male,84.0,3,3,healthcare representative,3,Unknown,,13084,2,,23,2,0,3,3.0,17,12,11,1,1180.0,4.0,25.0
32,53.0,no,travel rarely,Unknown,5,3,Unknown,32.0,3,female,58.0,3,5,manager,3,Unknown,,10735,4,,11,4,1,3,2.0,14,4,8,1,1282.0,3.0,26.0
33,35.0,no,Unknown,Unknown,1,4,marketing,100.0,3,male,32.0,2,2,sales executive,1,single,,23016,0,0.0,14,2,0,2,3.0,15,2,8,0,776.0,3.150427388768202,16.0
34,34.0,no,travel rarely,Unknown,6,4,other,Unknown,1,female,41.0,3,2,research scientist,3,single,,12482,1,,14,3,0,3,3.0,16,2,10,0,665.0,3.0,16.0
35,46.0,no,travel rarely,Unknown,1,2,Unknown,244.0,2,female,92.0,3,3,sales executive,1,divorced,,2137,1,0.0,25,3,3,2,3.0,24,15,7,1,526.0,4.0,24.0
36,43.0,no,Unknown,Unknown,16,3,Unknown,327.0,4,female,80.0,3,4,manager,4,married,16064.0,7744,5,,22,3,1,3,3.0,17,1,9,1,1034.0,4.0,22.0
37,36.0,no,Unknown,research & development,6,3,life sciences,373.0,4,male,47.0,3,1,laboratory technician,4,married,3210.0,20251,0,,11,3,1,4,3.0,15,10,11,0,1403.0,3.0,16.0
38,60.0,no,travel frequently,Unknown,28,3,Unknown,Unknown,3,female,80.0,2,3,sales executive,1,married,10266.0,2845,4,0.0,19,4,0,5,4.0,18,13,11,1,1499.0,3.0,22.0
39,40.0,no,travel frequently,Unknown,5,4,Unknown,729.0,4,male,48.0,2,3,sales executive,1,married,10475.0,23772,5,1.0,21,3,1,2,3.0,18,1,12,0,580.0,4.0,20.0
40,32.0,no,travel rarely,Unknown,4,3,Unknown,830.0,3,female,98.0,2,2,manufacturing director,3,married,6162.0,19124,1,0.0,12,3,1,3,3.0,14,6,8,0,859.0,3.0,14.0
41,41.0,no,travel rarely,Unknown,-35,3,Unknown,Unknown,35,male,59.0,3,1,laboratory technician,1,single,4721.0,3119,2,1.0,13,3,0,3,3.0,18,2,17,1,263.0,3.155334570317001,20.0
42,53.0,no,Unknown,Unknown,2,2,medical,981.0,3,male,,3,4,manager,3,divorced,,13938,6,0.0,13,3,1,3,4.0,17,15,2,0,1376.0,3.0,22.0
43,36.0,yes,travel rarely,Unknown,16,4,Unknown,1042.0,3,female,43.0,4,1,laboratory technician,1,single,,8269,1,,16,3,0,1,3.0,17,15,14,1,885.0,3.0,18.0
44,46.0,no,Unknown,Unknown,8,4,life sciences,1080.0,4,female,74.0,2,2,research scientist,1,divorced,4615.0,21029,8,1.0,23,1,3,2,3.0,16,1,7,0,1003.0,4.0,11.469865185226435
45,38.0,no,travel rarely,Unknown,1,4,Unknown,1995.0,4,male,86.0,3,2,sales executive,2,married,,7636,0,0.0,15,1,2,3,3.0,15,5,8,1,1321.0,3.0,16.0
46,51.0,no,Unknown,Unknown,1,4,Unknown,145.0,1,female,30.0,2,3,healthcare representative,1,single,,25796,3,,20,3,0,1,2.0,13,12,8,0,829.2903646668146,4.0,23.0
47,43.0,no,Unknown,Unknown,26,2,Unknown,158.0,3,male,92.0,3,4,manager,4,married,16959.0,19494,1,1.0,12,4,2,3,4.0,25,4,12,1,394.0,3.0,25.0
48,37.0,no,Unknown,Unknown,1,3,life sciences,391.0,4,female,42.0,3,1,research scientist,4,single,,15881,1,0.0,12,2,0,3,3.0,17,5,7,1,1372.0,3.0,11.755233032282753
49,32.0,no,travel rarely,Unknown,8,2,technical degree,436.0,3,female,65.0,2,2,sales executive,2,married,,24624,1,1.0,11,4,0,2,3.0,13,11,9,0,802.0919042787403,3.0,11.314493590832905
50,38.0,no,Unknown,Unknown,1,3,Unknown,Unknown,4,female,80.0,3,3,research director,1,married,,16292,1,,13,2,1,3,3.0,15,5,11,0,1333.0,3.0,15.0
51,46.0,no,Unknown,Unknown,3,3,life sciences,1527.0,3,female,51.0,3,4,manager,2,Unknown,,11380,8,0.0,12,4,1,2,4.0,13,5,1,1,228.0,3.0,23.0
52,35.0,yes,travel rarely,Unknown,10,3,medical,Unknown,4,male,55.0,2,3,sales executive,1,married,10306.0,21530,9,,17,3,0,3,3.0,13,6,0,0,737.0,3.0,15.0
53,43.0,no,Unknown,Unknown,6,3,medical,1866.0,1,female,81.0,2,5,manager,3,married,,22539,7,0.0,13,4,0,2,3.0,16,6,14,1,823.0,3.0,21.0
54,56.0,no,non-travel,Unknown,1,4,life sciences,2026.0,3,male,57.0,3,2,healthcare representative,3,divorced,,26236,1,0.0,21,1,1,2,2.0,13,1,9,1,667.0,3.1522644130306663,11.210019867639978
55,36.0,no,non-travel,Unknown,15,4,marketing,Unknown,4,male,88.0,1,2,sales executive,4,divorced,5406.0,10436,1,0.0,24,1,1,4,2.0,15,11,11,1,301.0,4.0,10.926972234203822
56,38.0,no,Unknown,Unknown,6,3,medical,107.0,2,female,79.0,1,2,research scientist,4,Unknown,,15717,7,,12,4,3,3,3.0,13,1,9,1,573.0,3.0,17.0
57,49.0,no,Unknown,Unknown,-26,4,medical,170.0,3,female,96.0,3,2,manufacturing director,1,Unknown,,5549,1,0.0,14,3,0,2,2.0,15,5,11,0,813.0440551141439,3.0,16.0
58,39.0,no,travel rarely,Unknown,4,4,life sciences,Unknown,4,female,47.0,2,2,sales executive,3,married,5902.0,14590,4,,14,3,1,1,4.0,15,5,9,1,1329.0,3.0,17.0
59,40.0,no,Unknown,Unknown,4,4,Unknown,215.0,3,male,67.0,2,3,sales executive,4,married,10855.0,8552,7,0.0,11,1,1,2,2.0,12,2,11,1,630.0,3.1521251654122033,15.0
60,36.0,no,Unknown,Unknown,5,2,Unknown,304.0,4,male,62.0,3,2,laboratory technician,2,single,5914.0,9945,8,0.0,16,4,0,3,4.0,13,3,7,1,813.0440551141439,3.0,16.0
61,37.0,no,Unknown,Unknown,25,5,Unknown,529.0,2,female,72.0,3,2,research scientist,3,married,,23866,3,1.0,15,1,2,2,3.0,13,10,7,0,1063.0,3.0,15.0
62,35.0,no,Unknown,Unknown,6,4,Unknown,691.0,2,male,82.0,1,2,research scientist,4,Unknown,6646.0,19368,1,,13,2,0,3,3.0,17,11,8,1,1017.0,3.0,11.48069314964311
63,33.0,no,travel frequently,Unknown,6,3,life sciences,692.0,3,male,,3,2,healthcare representative,4,divorced,,5335,3,0.0,23,3,1,2,1.0,13,4,7,0,1296.0,4.0,15.0
64,50.0,no,travel rarely,research & development,24,3,Unknown,1005.0,4,male,,3,4,manufacturing director,3,married,13973.0,4161,3,1.0,18,4,1,2,3.0,12,1,5,0,939.0,3.0,22.0
65,48.0,no,travel rarely,Unknown,4,4,Unknown,1024.0,3,male,78.0,2,3,healthcare representative,3,single,,22245,7,,14,2,0,3,3.0,15,4,8,1,1355.0,3.142703661458278,27.0
66,44.0,no,travel rarely,sales,28,3,Unknown,1039.0,4,female,53.0,4,4,sales executive,4,married,13320.0,11737,3,,18,3,1,2,3.0,12,11,11,1,1448.0,3.0,11.8140077677211
67,44.0,no,travel rarely,Unknown,29,4,Unknown,1225.0,4,male,32.0,3,2,research scientist,4,single,,7744,1,,25,2,0,3,3.0,20,13,17,1,200.0,4.0,10.848863704213388
68,40.0,no,Unknown,Unknown,-25,1,Unknown,1375.0,25,female,89.0,4,2,healthcare representative,3,Unknown,,13888,5,0.0,20,2,3,0,3.0,12,11,8,0,1202.0,4.0,15.0
69,34.0,no,travel rarely,Unknown,2,4,Unknown,Unknown,3,female,98.0,3,2,healthcare representative,4,single,6687.0,6163,1,,11,4,0,2,4.0,14,4,11,0,404.0,3.0,14.0
70,35.0,no,non-travel,research & development,8,4,Unknown,Unknown,3,female,52.0,3,2,healthcare representative,3,Unknown,,12250,1,,12,4,1,5,3.0,14,2,9,0,208.0,3.0,10.855051557937562
71,50.0,no,Unknown,Unknown,17,5,life sciences,Unknown,4,female,50.0,2,3,research director,1,Unknown,,21981,5,0.0,15,3,3,3,3.0,14,1,11,0,813.0,3.0,11.322929386098078
72,49.0,no,Unknown,Unknown,6,1,life sciences,1661.0,3,female,41.0,2,4,healthcare representative,3,Unknown,,11652,2,,19,2,1,3,3.0,15,2,12,1,465.0,3.0,11.053802965933022
73,38.0,no,travel frequently,Unknown,1,3,life sciences,1668.0,4,male,90.0,3,2,research scientist,4,Unknown,4735.0,9867,7,0.0,15,4,2,4,3.0,13,2,9,0,1189.0,3.0,19.0
74,33.0,no,Unknown,Unknown,21,3,Unknown,1698.0,2,male,79.0,4,1,laboratory technician,2,Unknown,,13637,1,0.0,18,4,3,6,3.0,14,2,13,0,808.369148700392,3.0,14.0
75,47.0,no,travel rarely,Unknown,4,3,life sciences,Unknown,3,female,92.0,2,3,manufacturing director,2,divorced,,19271,8,1.0,12,3,1,4,3.0,22,14,10,1,1001.0,3.14866629671257,11.46831936659599
76,38.0,no,Unknown,research & development,8,3,Unknown,1937.0,4,female,58.0,2,2,research scientist,2,divorced,,18115,1,,16,3,1,3,3.0,20,0,7,0,1394.0,3.0,20.0
77,37.0,no,travel rarely,Unknown,10,3,life sciences,2017.0,3,female,42.0,4,3,research director,4,Unknown,,15471,1,1.0,25,1,1,2,3.0,16,6,8,1,161.0,4.0,16.0
78,30.0,no,Unknown,Unknown,2,3,Unknown,117.0,3,male,99.0,2,2,healthcare representative,4,married,,15830,1,0.0,19,1,3,3,3.0,11,10,8,1,288.0,3.156335610432872,11.0
79,58.0,no,travel rarely,Unknown,-18,4,Unknown,131.0,4,male,37.0,3,4,sales executive,3,single,13872.0,24409,0,,13,3,0,1,2.0,37,1,8,1,682.0,3.0,38.0
80,34.0,no,travel rarely,Unknown,5,3,Unknown,153.0,3,female,45.0,2,3,manager,1,single,,5615,2,,12,4,0,6,3.0,11,5,8,0,1354.0,3.0,14.0
81,58.0,yes,travel rarely,Unknown,23,4,medical,Unknown,4,female,94.0,3,3,healthcare representative,4,married,,3465,1,,12,4,1,3,2.0,40,15,6,1,147.0,3.0,40.0
82,38.0,no,Unknown,Unknown,3,3,life sciences,307.0,1,male,76.0,3,3,sales executive,3,divorced,,9647,0,,12,3,2,6,2.0,16,5,13,1,119.0,3.0,10.786223249332132
83,29.0,no,travel frequently,Unknown,1,1,Unknown,Unknown,2,female,42.0,3,3,sales executive,4,married,,6599,1,,14,4,1,5,3.0,11,4,1,0,1413.0,3.0,11.0
84,55.0,no,travel rarely,Unknown,1,3,medical,374.0,4,male,81.0,3,5,manager,1,single,19045.0,18938,0,,14,3,0,2,3.0,36,4,13,1,452.0,3.0,37.0
85,41.0,no,Unknown,Unknown,-10,4,Unknown,Unknown,4,male,88.0,3,4,manager,2,Unknown,16015.0,15896,1,,19,2,0,2,3.0,22,0,4,1,334.0,3.0,10.952493882480084
86,39.0,no,travel rarely,research & development,1,3,Unknown,Unknown,3,male,48.0,4,3,healthcare representative,4,Unknown,9613.0,10942,0,0.0,17,1,3,5,2.0,18,3,7,0,1132.0,3.1462084978756106,19.0
87,38.0,no,Unknown,Unknown,15,2,life sciences,Unknown,3,male,92.0,2,3,research director,4,Unknown,11510.0,15682,0,,14,2,1,3,3.0,11,2,9,1,802.0919042787403,3.0,11.314493590832905
88,43.0,no,Unknown,Unknown,12,3,Unknown,Unknown,1,male,59.0,2,4,research director,2,Unknown,,4345,1,0.0,11,3,1,3,3.0,25,3,9,0,982.0,3.0,11.45362583727019
89,31.0,no,Unknown,Unknown,-30,2,Unknown,524.0,2,female,31.0,3,2,manufacturing director,1,married,4306.0,4156,1,0.0,12,2,1,5,1.0,13,3,12,1,480.0,3.0,13.0
90,50.0,no,travel rarely,research & development,-27,4,life sciences,569.0,27,male,88.0,2,4,manager,3,married,17046.0,9314,0,0.0,15,2,1,2,3.0,27,15,7,0,1099.0,3.0,28.0
91,35.0,no,Unknown,Unknown,25,3,technical degree,899.0,4,male,78.0,2,3,manufacturing director,2,married,,9129,3,0.0,16,1,0,2,3.0,13,4,8,0,672.0,3.1522105490139283,11.213886626606385
92,47.0,no,Unknown,Unknown,16,4,Unknown,Unknown,3,male,64.0,4,2,manufacturing director,3,Unknown,5067.0,6759,1,1.0,19,3,0,3,3.0,19,2,7,1,1379.0,3.0,20.0
93,35.0,no,Unknown,research & development,25,4,Unknown,1014.0,3,female,57.0,3,3,healthcare representative,3,divorced,,6975,1,1.0,11,3,1,3,2.0,16,10,1,1,583.0,3.153169328511864,11.145058317004334
94,40.0,no,travel rarely,Unknown,20,4,Unknown,Unknown,1,male,61.0,3,3,healthcare representative,4,married,,26542,4,,20,4,1,6,3.0,11,11,1,1,1492.0,4.0,14.0
95,45.0,no,Unknown,sales,9,4,life sciences,1117.0,2,female,65.0,2,2,sales executive,3,married,,17970,1,,13,4,1,2,3.0,15,4,12,0,1050.0,3.0,15.0
96,33.0,no,Unknown,research & development,9,3,medical,1238.0,1,male,60.0,3,1,research scientist,4,married,,6311,0,,13,2,1,5,3.0,14,4,10,0,117.0,3.0,15.0
97,36.0,no,travel frequently,Unknown,3,3,Unknown,Unknown,3,male,46.0,3,1,research scientist,2,married,3692.0,9256,1,0.0,12,3,0,2,2.0,11,0,7,0,469.0,3.0,12.0
98,45.0,yes,Unknown,Unknown,-13,3,marketing,1277.0,1,female,94.0,1,5,manager,2,Unknown,,2493,2,1.0,16,1,0,2,3.0,24,1,11,0,836.4185871829036,3.0,26.0
99,51.0,no,travel frequently,Unknown,-27,3,Unknown,Unknown,27,male,83.0,3,5,manager,2,Unknown,19847.0,19196,4,1.0,24,1,1,5,2.0,29,11,10,0,237.0,3.156896718470131,10.877478596528944
100,34.0,no,travel rarely,Unknown,7,2,technical degree,1541.0,2,male,55.0,3,1,sales representative,3,Unknown,2308.0,4944,0,1.0,25,2,1,4,3.0,11,5,7,0,1440.0,4.0,12.0
101,43.0,no,travel rarely,research & development,15,2,Unknown,1666.0,3,male,65.0,2,4,research director,3,Unknown,,3525,1,0.0,24,1,1,3,3.0,14,6,11,1,1291.0,4.0,11.692590498466483
102,34.0,no,Unknown,Unknown,5,2,medical,1696.0,2,male,57.0,2,2,laboratory technician,4,Unknown,,11912,1,0.0,14,3,1,3,3.0,15,4,13,0,1157.0,3.0,11.5889623991348
103,38.0,no,Unknown,Unknown,2,3,Unknown,1805.0,1,male,100.0,3,1,human resources,2,divorced,,7129,5,0.0,13,4,3,3,3.0,11,3,8,1,1336.0,3.0,13.0
104,48.0,no,Unknown,Unknown,10,3,Unknown,Unknown,4,male,91.0,2,5,research director,2,Unknown,,13583,4,0.0,12,4,0,3,3.0,22,12,9,0,1224.0,3.0,29.0
105,34.0,no,Unknown,research & development,22,4,other,1932.0,3,male,86.0,2,2,research scientist,4,married,5747.0,26496,1,1.0,15,2,0,3,3.0,15,6,11,0,735.0,3.0,16.0
106,32.0,no,travel rarely,Unknown,-31,4,Unknown,2016.0,31,female,48.0,3,3,sales executive,4,Unknown,10422.0,24032,1,0.0,19,3,2,3,3.0,14,5,7,1,808.369148700392,3.0,14.0
107,29.0,no,travel rarely,Unknown,21,4,life sciences,20.0,2,female,51.0,4,3,manufacturing director,1,divorced,,10195,1,0.0,11,3,1,1,3.0,10,8,8,0,1389.0,3.0,10.0
108,46.0,no,Unknown,Unknown,1,3,medical,Unknown,3,male,40.0,2,3,healthcare representative,1,married,,3142,2,1.0,13,3,1,5,2.0,10,9,5,0,638.0,3.0,21.0
109,30.0,no,Unknown,human resources,9,3,Unknown,184.0,3,male,48.0,3,2,human resources,4,married,6347.0,13982,0,1.0,19,4,0,2,1.0,11,4,7,0,1240.0,3.0,11.65315059704773
110,45.0,no,Unknown,Unknown,9,3,life sciences,206.0,2,male,60.0,3,2,laboratory technician,2,Unknown,2348.0,10901,8,0.0,18,3,1,2,3.0,17,0,15,1,194.0,3.0,20.0
111,30.0,no,travel rarely,Unknown,5,3,Unknown,228.0,2,female,41.0,3,3,sales executive,4,Unknown,,8053,2,0.0,12,3,1,2,3.0,10,7,4,0,1339.0,3.0,11.729712423473998
112,30.0,no,Unknown,Unknown,9,3,Unknown,239.0,3,male,66.0,3,2,laboratory technician,1,Unknown,3072.0,11012,1,0.0,11,3,2,4,3.0,12,6,10,1,111.0,3.1580822704928924,12.0
113,34.0,no,travel frequently,Unknown,-29,1,Unknown,256.0,4,male,45.0,2,2,manufacturing director,3,married,,14074,1,,17,3,0,2,2.0,10,1,9,0,799.0193358728882,3.0,10.0
114,51.0,no,travel rarely,Unknown,8,4,life sciences,Unknown,2,male,81.0,2,3,research director,2,married,12490.0,15736,5,0.0,16,4,2,5,1.0,10,4,7,0,1469.0,3.0,16.0
115,34.0,no,Unknown,Unknown,-39,4,life sciences,339.0,39,male,84.0,2,2,manufacturing director,1,Unknown,,23687,6,,13,2,1,3,3.0,11,5,9,1,470.0,3.0,13.0
116,35.0,no,travel rarely,Unknown,16,3,Unknown,406.0,3,male,96.0,3,3,sales executive,2,married,8020.0,5100,0,,15,3,2,3,2.0,11,6,9,1,1232.0,3.0,12.0
117,45.0,no,travel frequently,Unknown,7,3,life sciences,Unknown,1,male,97.0,3,3,laboratory technician,1,Unknown,,20308,1,,18,1,1,2,3.0,24,9,11,1,1249.0,3.0,24.0
118,39.0,no,Unknown,Unknown,10,1,Unknown,429.0,3,male,99.0,3,4,manager,1,married,17068.0,5355,1,,14,4,0,3,3.0,21,11,10,1,117.0,3.156750649764561,21.0
119,31.0,no,Unknown,Unknown,7,2,Unknown,Unknown,3,female,48.0,2,3,manufacturing director,3,married,8943.0,14034,1,0.0,24,1,1,2,3.0,10,8,9,0,798.0,4.0,10.0
120,39.0,no,Unknown,research & development,7,2,Unknown,444.0,3,male,54.0,2,5,manager,4,married,19272.0,21141,1,,15,1,1,2,3.0,21,13,3,0,672.0,3.0,11.213886784824306
121,45.0,no,travel rarely,Unknown,8,4,Unknown,452.0,4,male,75.0,3,2,research scientist,4,Unknown,,9278,9,0.0,14,1,2,3,3.0,10,9,8,0,549.0,3.0,12.0
122,30.0,no,travel rarely,sales,5,3,marketing,456.0,4,female,30.0,2,2,sales executive,3,Unknown,,5431,1,,13,3,3,2,3.0,10,1,2,1,570.0,3.0,10.0
123,31.0,no,Unknown,Unknown,7,4,medical,Unknown,3,female,39.0,3,3,manufacturing director,4,Unknown,,25713,1,,14,3,0,2,2.0,11,4,10,0,1232.0,3.0,11.0
124,36.0,no,Unknown,Unknown,3,4,medical,481.0,1,male,48.0,2,3,sales executive,4,married,,7246,4,0.0,11,1,1,2,3.0,13,1,12,0,541.0,3.0,16.0
125,36.0,no,travel rarely,Unknown,2,2,Unknown,513.0,2,male,61.0,2,3,sales executive,3,married,,3809,1,,13,2,2,2,3.0,10,9,0,0,164.0,3.0,10.0
126,55.0,no,travel rarely,Unknown,18,5,Unknown,597.0,1,female,83.0,3,4,manager,2,single,,9873,3,0.0,23,4,0,2,3.0,10,7,7,1,1117.0,4.0,37.0
127,35.0,no,Unknown,Unknown,1,3,Unknown,600.0,2,male,85.0,3,2,sales executive,3,Unknown,,18659,9,,11,3,0,2,3.0,11,6,9,1,619.0,3.0,15.0
128,42.0,no,travel rarely,Unknown,24,3,medical,Unknown,4,male,56.0,3,3,manufacturing director,1,married,,6950,1,,21,4,1,5,2.0,10,5,8,0,319.0,4.0,10.0
129,52.0,no,travel rarely,Unknown,6,2,Unknown,630.0,4,male,78.0,3,2,research scientist,1,divorced,5577.0,22087,3,1.0,12,2,2,3,3.0,10,6,9,1,956.0,3.148226191241347,18.0
130,49.0,no,Unknown,Unknown,18,4,life sciences,638.0,4,male,58.0,2,5,research director,3,Unknown,,2125,1,1.0,17,3,1,5,3.0,31,0,9,1,1245.0,3.0,11.657017355958148
131,34.0,no,travel rarely,research & development,1,5,Unknown,683.0,2,male,42.0,3,1,research scientist,4,married,2691.0,7660,1,0.0,12,4,1,4,2.0,10,8,8,1,1397.0,3.0,11.77456682683484
132,33.0,yes,travel rarely,Unknown,1,4,other,780.0,4,male,63.0,3,1,research scientist,4,single,,5207,1,,13,3,0,2,2.0,10,7,8,0,527.0,3.0,10.0
133,33.0,no,Unknown,research & development,7,3,medical,817.0,3,male,49.0,3,3,research director,3,married,,25995,0,0.0,11,4,0,3,4.0,13,3,7,0,213.0,3.0,10.85891831684798
